Repo,File,Method,Visibility,Start,End,JavaDoc,Lines,Check,Magic,Unsupported,Style Errors
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,Elevator,public,110,126,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,passengersToGetOff,protected,133,138,true,4,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,passengersToBoard,protected,148,162,true,11,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,board,protected,170,180,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,offload,protected,189,194,true,4,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getCapacity,protected,211,213,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getNumPassengers,protected,220,222,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getTicksPerFloor,protected,229,231,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getTicksDoorOpenClose,protected,238,240,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getPassPerTick,protected,247,249,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getCurrState,protected,256,258,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getPrevState,protected,265,267,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getPrevFloor,protected,274,276,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getCurrFloor,protected,283,285,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,setDirection,protected,293,295,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getDirection,protected,302,304,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,setMoveToFloor,protected,312,314,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getMoveToFloor,protected,321,323,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,setPostMoveToFloorDir,protected,331,333,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getPostMoveToFloorDir,protected,340,342,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getDoorState,protected,349,351,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,isEmpty,protected,358,360,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,getDelay,protected,367,369,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,delayIsOver,protected,376,384,true,7,false,false,false,1
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,updateDelay,protected,391,393,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,updateDoor,protected,398,403,true,2,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,updateFloor,protected,409,416,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,updateCurrState,protected,426,434,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,atFloor,protected,441,443,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,canFit,protected,451,453,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,hasSkipped,protected,460,462,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Elevator.java,skipped,protected,469,471,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,Floor,public,29,32,true,2,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,addPassengers,public,43,49,true,5,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,allPassengers,public,57,75,true,17,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,peekUp,public,83,85,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,peekDown,public,92,94,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,removeUp,public,101,103,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,removeDown,public,110,112,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,isEmpty,public,120,122,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Floor.java,queueString,protected,131,143,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,ElevatorSimController,public,85,96,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,controllerUpdatesTheGui,private,101,111,true,5,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,configSimulation,private,119,131,true,11,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,parseElevatorConfigData,private,141,156,true,14,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,initializePassengerData,private,165,183,true,17,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,parsePassengerData,private,192,208,true,15,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,getNumFloors,public,215,217,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,getTestName,public,224,226,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,enableLogging,public,231,233,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,stepSim,public,240,253,true,12,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,checkPassQueue,private,259,273,true,13,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,allInStopState,private,282,284,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,dumpPassQ,public,289,298,true,8,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimController.java,getBuilding,protected,306,308,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,CallManager,public,45,54,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,callPending,public,61,63,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,updateCallStatus,protected,72,78,true,4,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,prioritizePassengerCalls,protected,91,111,true,14,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,onlyUpCalls,private,128,130,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,onlyDownCalls,private,138,140,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,numUpCallsAboveFloor,private,149,158,true,8,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,numDownCallsBelowFloor,private,166,175,true,8,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,callsAboveFloor,public,183,190,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,callsBelowFloor,public,198,205,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,numUpCalls,private,213,222,true,8,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,numDownCalls,private,229,238,true,8,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,findFirstFloor,private,246,258,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,findClosestFloor,private,266,288,true,21,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getFloors,public,295,297,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,setFloors,public,304,306,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getUpCalls,public,313,315,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,setUpCalls,public,322,324,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getDownCalls,public,331,333,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,setDownCalls,public,340,342,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,isUpCallPending,public,349,351,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,setUpCallPending,public,358,360,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,isDownCallPending,public,367,369,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,setDownCallPending,public,376,378,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getNUM_FLOORS,public,385,387,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getUp,public,394,396,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,CallManager.java,getDown,public,403,405,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,ElevatorSimulation,public,103,106,true,2,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,start,public,114,136,true,17,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,makeShapes,private,141,170,true,28,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,setButtons,private,175,188,true,11,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,setGripPane,private,193,223,true,29,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,main,public,230,243,true,12,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,stepTick,private,250,255,true,4,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,initTimeline,private,260,263,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,endSimulation,public,268,271,true,2,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,toggleRun,private,277,285,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,toggleLogger,private,291,301,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,updateGUI,public,313,337,true,19,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,drawElevatorState,private,346,372,true,27,true,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,drawPassengers,private,380,402,true,19,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,ElevatorSimulation.java,setGridPaneConstraints,private,408,414,true,4,false,true,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,Building,public,74,93,true,11,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,configElevator,public,104,106,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,addPassengersToQueue,public,115,121,true,4,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,initializeBuildingLogger,protected,130,141,true,10,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateStop,private,150,170,true,19,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateMvToFlr,private,178,185,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateOpenDr,private,193,207,true,13,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateOffLd,private,215,230,true,14,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateBoard,private,238,269,true,28,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateCloseDr,private,277,300,true,21,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,currStateMv1Flr,private,308,317,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,shouldOpenDrCloseDr,private,325,337,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,changeDirection,private,344,369,true,19,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,elevatorStateOrFloorChanged,private,378,380,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,updateElevator,public,390,405,true,10,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,getElevatorState,public,412,420,true,7,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,getWaitingPassengers,public,427,434,true,6,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,processPassengerData,public,443,463,true,16,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,toggleLogging,public,468,475,true,5,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,enableLogging,public,481,486,true,2,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,closeLogs,public,493,499,true,5,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,printState,private,507,521,true,12,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logElevatorConfig,private,533,537,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logElevatorStateOrFloorChanged,private,548,551,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logArrival,private,561,564,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logCalls,private,575,578,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logGiveUp,private,589,592,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logSkip,private,603,606,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logBoard,private,617,620,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Building.java,logEndSimulation,private,627,629,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,Passengers,public,63,76,true,9,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,isPolite,public,89,91,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setPolite,public,97,99,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getTimeWillGiveUp,public,105,107,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setTimeWillGiveUp,public,113,115,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getDirection,public,121,123,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setId,public,129,131,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setTime,public,137,139,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setNumPass,public,145,147,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setOnFloor,public,153,155,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setDestFloor,public,161,163,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setWaitTime,public,169,171,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setBoardTime,public,177,179,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,setTimeArrived,public,185,187,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getId,public,195,197,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getTime,public,204,206,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getNumPass,public,213,215,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getOnFloor,public,222,224,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getDestFloor,public,231,233,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getWaitTime,public,240,242,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getBoardTime,public,249,251,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,getTimeArrived,public,258,260,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,resetStaticID,public,269,271,true,1,false,false,false,0
elevatorsimulation-aden-im-bouta-finish-coding,Passengers.java,toString,public,278,282,true,1,false,false,false,0
